day,date,hijri,z1fajr,z1sunrise,z1luhar,z1asr,z1maghrib,z1isha,z2fajr,z2sunrise,z2luhar,z2asr,z2maghrib,z2isha,z3fajr,z3sunrise,z3luhar,z3asr,z3maghrib,z3isha,z4fajr,z4sunrise,z4luhar,z4asr,z4maghrib,z4isha,z5fajr,z5sunrise,z5luhar,z5asr,z5maghrib,z5isha,z6fajr,z6sunrise,z6luhar,z6asr,z6maghrib,z6isha,z7fajr,z7sunrise,z7luhar,z7asr,z7maghrib,z7isha,z8fajr,z8sunrise,z8luhar,z8asr,z8maghrib,z8isha,z9fajr,z9sunrise,z9luhar,z9asr,z9maghrib,z9isha,z10fajr,z10sunrise,z10luhar,z10asr,z10maghrib,z10isha,z11fajr,z11sunrise,z11luhar,z11asr,z11maghrib,z11isha,z12fajr,z12sunrise,z12luhar,z12asr,z12maghrib,z12isha,z13fajr,z13sunrise,z13luhar,z13asr,z13maghrib,z13isha
Friday,2026-09-11,28 Rabi al-Awwal 1448,4:45 AM,6:02 AM,12:09 PM,3:13 PM,6:14 PM,7:23 PM,4:43 AM,6:01 AM,12:09 PM,3:18 PM,6:15 PM,7:25 PM,4:41 AM,5:59 AM,12:06 PM,3:16 PM,6:13 PM,7:22 PM,4:45 AM,6:02 AM,12:09 PM,3:16 PM,6:15 PM,7:24 PM,4:42 AM,5:59 AM,12:06 PM,3:14 PM,6:12 PM,7:22 PM,4:42 AM,6:00 AM,12:06 PM,3:12 PM,6:12 PM,7:21 PM,4:41 AM,5:59 AM,12:05 PM,3:11 PM,6:11 PM,7:20 PM,4:37 AM,5:54 AM,12:01 PM,3:08 PM,6:07 PM,7:16 PM,4:39 AM,5:57 AM,12:04 PM,3:13 PM,6:10 PM,7:20 PM,4:40 AM,5:57 AM,12:04 PM,3:09 PM,6:09 PM,7:18 PM,4:43 AM,6:00 AM,12:06 PM,3:11 PM,6:12 PM,7:21 PM,4:44 AM,6:01 AM,12:07 PM,3:10 PM,6:12 PM,7:21 PM,4:42 AM,5:58 AM,12:05 PM,3:08 PM,6:10 PM,7:19 PM
Saturday,2026-09-12,29 Rabi al-Awwal 1448,4:45 AM,6:02 AM,12:08 PM,3:14 PM,6:14 PM,7:23 PM,4:43 AM,6:01 AM,12:08 PM,3:19 PM,6:15 PM,7:24 PM,4:41 AM,5:59 AM,12:06 PM,3:16 PM,6:12 PM,7:22 PM,4:45 AM,6:02 AM,12:09 PM,3:16 PM,6:15 PM,7:24 PM,4:42 AM,5:59 AM,12:06 PM,3:14 PM,6:12 PM,7:21 PM,4:42 AM,6:00 AM,12:06 PM,3:13 PM,6:12 PM,7:21 PM,4:41 AM,5:58 AM,12:05 PM,3:11 PM,6:11 PM,7:20 PM,4:37 AM,5:54 AM,12:01 PM,3:08 PM,6:07 PM,7:16 PM,4:39 AM,5:56 AM,12:04 PM,3:13 PM,6:10 PM,7:19 PM,4:40 AM,5:57 AM,12:03 PM,3:09 PM,6:09 PM,7:18 PM,4:43 AM,6:00 AM,12:06 PM,3:11 PM,6:11 PM,7:20 PM,4:44 AM,6:00 AM,12:07 PM,3:11 PM,6:12 PM,7:21 PM,4:41 AM,5:58 AM,12:04 PM,3:08 PM,6:10 PM,7:18 PM
Sunday,2026-09-13,30 Rabi al-Awwal 1448,4:45 AM,6:01 AM,12:08 PM,3:14 PM,6:13 PM,7:22 PM,4:43 AM,6:01 AM,12:08 PM,3:19 PM,6:14 PM,7:23 PM,4:41 AM,5:59 AM,12:06 PM,3:16 PM,6:12 PM,7:21 PM,4:44 AM,6:02 AM,12:08 PM,3:17 PM,6:14 PM,7:23 PM,4:41 AM,5:59 AM,12:06 PM,3:14 PM,6:11 PM,7:20 PM,4:42 AM,5:59 AM,12:06 PM,3:13 PM,6:11 PM,7:20 PM,4:41 AM,5:58 AM,12:05 PM,3:11 PM,6:10 PM,7:19 PM,4:37 AM,5:54 AM,12:00 PM,3:08 PM,6:06 PM,7:15 PM,4:39 AM,5:56 AM,12:03 PM,3:13 PM,6:09 PM,7:18 PM,4:40 AM,5:57 AM,12:03 PM,3:09 PM,6:08 PM,7:17 PM,4:42 AM,5:59 AM,12:06 PM,3:11 PM,6:11 PM,7:20 PM,4:44 AM,6:00 AM,12:06 PM,3:11 PM,6:11 PM,7:20 PM,4:41 AM,5:58 AM,12:04 PM,3:08 PM,6:09 PM,7:18 PM
Monday,2026-09-14,01 Rabi ul-Akhir 1448,4:44 AM,6:01 AM,12:07 PM,3:14 PM,6:13 PM,7:21 PM,4:43 AM,6:01 AM,12:08 PM,3:19 PM,6:13 PM,7:23 PM,4:41 AM,5:58 AM,12:05 PM,3:16 PM,6:11 PM,7:20 PM,4:44 AM,6:02 AM,12:08 PM,3:17 PM,6:13 PM,7:22 PM,4:42 AM,5:59 AM,12:05 PM,3:14 PM,6:11 PM,7:20 PM,4:42 AM,5:59 AM,12:05 PM,3:13 PM,6:11 PM,7:20 PM,4:41 AM,5:58 AM,12:04 PM,3:12 PM,6:10 PM,7:18 PM,4:37 AM,5:54 AM,12:00 PM,3:08 PM,6:05 PM,7:14 PM,4:39 AM,5:56 AM,12:03 PM,3:13 PM,6:09 PM,7:18 PM,4:39 AM,5:56 AM,12:03 PM,3:09 PM,6:08 PM,7:17 PM,4:42 AM,5:59 AM,12:05 PM,3:11 PM,6:10 PM,7:19 PM,4:43 AM,6:00 AM,12:06 PM,3:11 PM,6:11 PM,7:20 PM,4:41 AM,5:58 AM,12:04 PM,3:09 PM,6:09 PM,7:17 PM
Tuesday,2026-09-15,02 Rabi ul-Akhir 1448,4:44 AM,6:01 AM,12:07 PM,3:14 PM,6:12 PM,7:21 PM,4:43 AM,6:01 AM,12:07 PM,3:19 PM,6:13 PM,7:22 PM,4:41 AM,5:58 AM,12:05 PM,3:16 PM,6:10 PM,7:20 PM,4:44 AM,6:01 AM,12:08 PM,3:17 PM,6:13 PM,7:22 PM,4:41 AM,5:59 AM,12:05 PM,3:14 PM,6:10 PM,7:19 PM,4:42 AM,5:59 AM,12:05 PM,3:13 PM,6:10 PM,7:19 PM,4:41 AM,5:58 AM,12:04 PM,3:12 PM,6:09 PM,7:18 PM,4:37 AM,5:54 AM,12:00 PM,3:08 PM,6:05 PM,7:14 PM,4:39 AM,5:56 AM,12:03 PM,3:13 PM,6:08 PM,7:17 PM,4:40 AM,5:56 AM,12:02 PM,3:10 PM,6:07 PM,7:16 PM,4:42 AM,5:59 AM,12:05 PM,3:12 PM,6:10 PM,7:19 PM,4:43 AM,6:00 AM,12:06 PM,3:11 PM,6:11 PM,7:19 PM,4:41 AM,5:58 AM,12:03 PM,3:09 PM,6:08 PM,7:17 PM
Wednesday,2026-09-16,03 Rabi ul-Akhir 1448,4:44 AM,6:01 AM,12:07 PM,3:14 PM,6:12 PM,7:20 PM,4:43 AM,6:00 AM,12:07 PM,3:19 PM,6:12 PM,7:21 PM,4:41 AM,5:58 AM,12:04 PM,3:16 PM,6:10 PM,7:19 PM,4:44 AM,6:01 AM,12:07 PM,3:17 PM,6:12 PM,7:21 PM,4:41 AM,5:58 AM,12:04 PM,3:15 PM,6:10 PM,7:19 PM,4:42 AM,5:59 AM,12:05 PM,3:13 PM,6:09 PM,7:18 PM,4:41 AM,5:58 AM,12:04 PM,3:12 PM,6:08 PM,7:17 PM,4:36 AM,5:53 AM,11:59 AM,3:09 PM,6:04 PM,7:13 PM,4:39 AM,5:56 AM,12:02 PM,3:13 PM,6:07 PM,7:16 PM,4:39 AM,5:56 AM,12:02 PM,3:10 PM,6:07 PM,7:15 PM,4:42 AM,5:59 AM,12:05 PM,3:12 PM,6:09 PM,7:18 PM,4:43 AM,6:00 AM,12:05 PM,3:12 PM,6:10 PM,7:19 PM,4:41 AM,5:57 AM,12:03 PM,3:09 PM,6:08 PM,7:16 PM
Thursday,2026-09-17,04 Rabi ul-Akhir 1448,4:44 AM,6:01 AM,12:06 PM,3:15 PM,6:11 PM,7:20 PM,4:43 AM,6:00 AM,12:06 PM,3:19 PM,6:12 PM,7:21 PM,4:41 AM,5:58 AM,12:04 PM,3:16 PM,6:09 PM,7:18 PM,4:44 AM,6:01 AM,12:07 PM,3:17 PM,6:12 PM,7:21 PM,4:41 AM,5:58 AM,12:04 PM,3:15 PM,6:09 PM,7:18 PM,4:42 AM,5:59 AM,12:04 PM,3:14 PM,6:09 PM,7:18 PM,4:41 AM,5:58 AM,12:03 PM,3:12 PM,6:08 PM,7:17 PM,4:36 AM,5:53 AM,11:59 AM,3:09 PM,6:04 PM,7:13 PM,4:39 AM,5:56 AM,12:02 PM,3:13 PM,6:07 PM,7:16 PM,4:39 AM,5:56 AM,12:02 PM,3:10 PM,6:06 PM,7:15 PM,4:42 AM,5:59 AM,12:04 PM,3:12 PM,6:09 PM,7:17 PM,4:43 AM,6:00 AM,12:05 PM,3:12 PM,6:09 PM,7:18 PM,4:41 AM,5:57 AM,12:03 PM,3:09 PM,6:07 PM,7:16 PM
Friday,2026-09-18,05 Rabi ul-Akhir 1448,4:44 AM,6:01 AM,12:06 PM,3:15 PM,6:10 PM,7:19 PM,4:43 AM,6:00 AM,12:06 PM,3:19 PM,6:11 PM,7:20 PM,4:41 AM,5:58 AM,12:04 PM,3:16 PM,6:09 PM,7:18 PM,4:44 AM,6:01 AM,12:07 PM,3:17 PM,6:11 PM,7:20 PM,4:41 AM,5:58 AM,12:04 PM,3:15 PM,6:08 PM,7:17 PM,4:42 AM,5:58 AM,12:04 PM,3:14 PM,6:09 PM,7:17 PM,4:41 AM,5:57 AM,12:03 PM,3:12 PM,6:07 PM,7:16 PM,4:36 AM,5:53 AM,11:59 AM,3:09 PM,6:03 PM,7:12 PM,4:39 AM,5:56 AM,12:01 PM,3:13 PM,6:06 PM,7:15 PM,4:39 AM,5:56 AM,12:01 PM,3:10 PM,6:06 PM,7:14 PM,4:42 AM,5:59 AM,12:04 PM,3:12 PM,6:08 PM,7:17 PM,4:43 AM,5:59 AM,12:05 PM,3:12 PM,6:09 PM,7:17 PM,4:41 AM,5:57 AM,12:02 PM,3:10 PM,6:07 PM,7:15 PM
Saturday,2026-09-19,06 Rabi ul-Akhir 1448,4:44 AM,6:00 AM,12:06 PM,3:15 PM,6:10 PM,7:18 PM,4:43 AM,6:00 AM,12:06 PM,3:19 PM,6:10 PM,7:19 PM,4:41 AM,5:58 AM,12:03 PM,3:16 PM,6:08 PM,7:17 PM,4:44 AM,6:01 AM,12:06 PM,3:17 PM,6:10 PM,7:19 PM,4:41 AM,5:58 AM,12:03 PM,3:15 PM,6:08 PM,7:17 PM,4:42 AM,5:58 AM,12:04 PM,3:14 PM,6:08 PM,7:17 PM,4:40 AM,5:57 AM,12:03 PM,3:13 PM,6:07 PM,7:15 PM,4:36 AM,5:53 AM,11:58 AM,3:09 PM,6:03 PM,7:11 PM,4:38 AM,5:56 AM,12:01 PM,3:13 PM,6:06 PM,7:15 PM,4:39 AM,5:56 AM,12:01 PM,3:10 PM,6:05 PM,7:14 PM,4:42 AM,5:58 AM,12:03 PM,3:12 PM,6:08 PM,7:16 PM,4:43 AM,5:59 AM,12:04 PM,3:12 PM,6:08 PM,7:17 PM,4:40 AM,5:57 AM,12:02 PM,3:10 PM,6:06 PM,7:14 PM
Sunday,2026-09-20,07 Rabi ul-Akhir 1448,4:44 AM,6:00 AM,12:05 PM,3:15 PM,6:09 PM,7:18 PM,4:43 AM,6:00 AM,12:05 PM,3:19 PM,6:10 PM,7:19 PM,4:41 AM,5:58 AM,12:03 PM,3:16 PM,6:07 PM,7:16 PM,4:44 AM,6:01 AM,12:06 PM,3:17 PM,6:10 PM,7:19 PM,4:41 AM,5:58 AM,12:03 PM,3:15 PM,6:07 PM,7:16 PM,4:41 AM,5:58 AM,12:03 PM,3:14 PM,6:07 PM,7:16 PM,4:40 AM,5:57 AM,12:02 PM,3:13 PM,6:06 PM,7:15 PM,4:36 AM,5:53 AM,11:58 AM,3:09 PM,6:02 PM,7:11 PM,4:39 AM,5:56 AM,12:01 PM,3:13 PM,6:05 PM,7:14 PM,4:39 AM,5:55 AM,12:00 PM,3:10 PM,6:04 PM,7:13 PM,4:41 AM,5:58 AM,12:03 PM,3:12 PM,6:07 PM,7:16 PM,4:43 AM,5:59 AM,12:04 PM,3:12 PM,6:08 PM,7:16 PM,4:40 AM,5:57 AM,12:02 PM,3:10 PM,6:05 PM,7:14 PM
Monday,2026-09-21,08 Rabi ul-Akhir 1448,4:43 AM,6:00 AM,12:05 PM,3:15 PM,6:09 PM,7:17 PM,4:43 AM,6:00 AM,12:05 PM,3:19 PM,6:09 PM,7:18 PM,4:41 AM,5:58 AM,12:03 PM,3:16 PM,6:07 PM,7:16 PM,4:44 AM,6:01 AM,12:06 PM,3:18 PM,6:09 PM,7:18 PM,4:41 AM,5:58 AM,12:03 PM,3:15 PM,6:07 PM,7:15 PM,4:41 AM,5:58 AM,12:03 PM,3:14 PM,6:07 PM,7:15 PM,4:40 AM,5:57 AM,12:02 PM,3:13 PM,6:06 PM,7:14 PM,4:36 AM,5:53 AM,11:58 AM,3:09 PM,6:01 PM,7:10 PM,4:38 AM,5:55 AM,12:00 PM,3:14 PM,6:04 PM,7:13 PM,4:39 AM,5:55 AM,12:00 PM,3:11 PM,6:04 PM,7:13 PM,4:41 AM,5:58 AM,12:03 PM,3:13 PM,6:07 PM,7:15 PM,4:42 AM,5:59 AM,12:04 PM,3:13 PM,6:07 PM,7:16 PM,4:40 AM,5:57 AM,12:01 PM,3:10 PM,6:05 PM,7:14 PM
Tuesday,2026-09-22,09 Rabi ul-Akhir 1448,4:43 AM,6:00 AM,12:04 PM,3:15 PM,6:08 PM,7:17 PM,4:43 AM,6:00 AM,12:05 PM,3:19 PM,6:08 PM,7:17 PM,4:40 AM,5:57 AM,12:02 PM,3:16 PM,6:06 PM,7:15 PM,4:43 AM,6:00 AM,12:05 PM,3:17 PM,6:09 PM,7:17 PM,4:41 AM,5:57 AM,12:02 PM,3:15 PM,6:06 PM,7:15 PM,4:41 AM,5:58 AM,12:02 PM,3:14 PM,6:06 PM,7:15 PM,4:40 AM,5:57 AM,12:01 PM,3:13 PM,6:05 PM,7:14 PM,4:36 AM,5:52 AM,11:57 AM,3:09 PM,6:01 PM,7:09 PM,4:38 AM,5:55 AM,12:00 PM,3:13 PM,6:04 PM,7:13 PM,4:38 AM,5:55 AM,12:00 PM,3:10 PM,6:03 PM,7:12 PM,4:41 AM,5:58 AM,12:02 PM,3:13 PM,6:06 PM,7:14 PM,4:42 AM,5:58 AM,12:03 PM,3:13 PM,6:07 PM,7:15 PM,4:40 AM,5:56 AM,12:01 PM,3:10 PM,6:04 PM,7:13 PM
